t,D1,D2,scale,sc_length,rapt
-3.99979000000E-02,1.89332000000E-09,2.12985000000E-09,8.00000000000E-01,1.00000000000E+00,1.00000000000E+00
-3.49408000000E-02,2.48174000000E-02,2.33486000000E-02,8.00000000000E-01,1.00000000000E+00,1.00000000000E+00
-2.99857000000E-02,4.32893000000E-02,3.85147000000E-02,8.00000000000E-01,1.00000000000E+00,1.00000000000E+00
-2.49371000000E-02,6.00141000000E-02,5.18799000000E-02,8.00000000000E-01,1.00000000000E+00,1.00000000000E+00
-1.99764000000E-02,7.28514000000E-02,6.25979000000E-02,8.00000000000E-01,1.00000000000E+00,1.00000000000E+00
-1.49175000000E-02,8.17649000000E-02,7.10664000000E-02,8.00000000000E-01,1.00000000000E+00,1.00000000000E+00
-9.90723000000E-03,8.86760000000E-02,7.80346000000E-02,8.00000000000E-01,1.00000000000E+00,1.00000000000E+00
-4.91067000000E-03,1.07582000000E-01,9.45248000000E-02,8.00000000000E-01,1.00000000000E+00,1.00000000000E+00
2.66324000000E-05,1.38710000000E-01,1.23986000000E-01,8.00000000000E-01,1.00000000000E+00,1.00000000000E+00
5.01509000000E-03,1.69139000000E-01,1.55639000000E-01,8.00000000000E-01,1.00000000000E+00,1.00000000000E+00
1.00044000000E-02,1.92128000000E-01,1.81306000000E-01,8.00000000000E-01,1.00000000000E+00,1.00000000000E+00
1.50026000000E-02,2.10650000000E-01,2.01130000000E-01,8.00000000000E-01,1.00000000000E+00,1.00000000000E+00
2.00075000000E-02,2.32250000000E-01,2.21108000000E-01,8.00000000000E-01,1.00000000000E+00,1.00000000000E+00
2.50012000000E-02,2.54128000000E-01,2.40967000000E-01,8.00000000000E-01,1.00000000000E+00,1.00000000000E+00
3.00266000000E-02,2.66686000000E-01,2.54565000000E-01,8.00000000000E-01,1.00000000000E+00,1.00000000000E+00
3.50004000000E-02,2.73448000000E-01,2.62492000000E-01,8.00000000000E-01,1.00000000000E+00,1.00000000000E+00
4.00139000000E-02,2.79909000000E-01,2.69216000000E-01,8.00000000000E-01,1.00000000000E+00,1.00000000000E+00
-3.99979000000E-02,1.88579000000E-09,2.12143000000E-09,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
-3.49262000000E-02,2.35979000000E-02,2.20875000000E-02,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
-2.99800000000E-02,4.15088000000E-02,3.67212000000E-02,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
-2.49540000000E-02,5.77716000000E-02,4.96190000000E-02,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
-1.99834000000E-02,7.04184000000E-02,6.00714000000E-02,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
-1.49898000000E-02,7.91570000000E-02,6.82443000000E-02,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
-9.90611000000E-03,8.60623000000E-02,7.51346000000E-02,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
-4.90151000000E-03,1.04568000000E-01,9.11452000000E-02,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
8.72417000000E-05,1.35288000000E-01,1.20019000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
5.00599000000E-03,1.64498000000E-01,1.50107000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
1.00278000000E-02,1.87023000000E-01,1.75207000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
1.50026000000E-02,2.04072000000E-01,1.93955000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
